Name,Size,Size_unit,Size_g,Calories,Total_fats,Saturated_fats,Cholesterol,Sodium,Total_carbs,Dietary_fibers,Sugars,Proteins
almond_butter,2,tbs,32,200,18,1.5,0,0,6,3,1,7
almond_salted,,g,45,270,24,2,0,180,9,6,2,9
anchovies_cento,6,unit,15,35,2,0,15,960,0,0,0,4
apple_green,,g,100,52,0.2,0,0,1,14,2.4,10,0.3
apricot,1,unit,34,17,0.1,0,0,0,3.9,0.7,3.2,0.5
artichoke_frozen,,g,85,35,0,0,0,20,7,4,0.8,2
arugula,,g,85,20,0.5,0,0,25,3,1,2,2
asparagus,,g,100,20,0.1,0,0,2,3.9,2,1.9,2.2
avocado,0.3333,unit,50,80,8,1,0,0,4,3,0,1
bagel_sesame,1,unit,112,317,4.8,0.9,0,444,57,2.7,8.9,12
banana,1,unit,118,105,0.4,0.1,0,1,27,3.1,14,1.3
bao_shrimp,2,unit,60,150,3,1,15,200,26,1,4,5
basil,,g,100,22,0.6,0,0,4,2.7,1.6,0.3,3.2
bean_kidney,0.5,unit,125,110,0.5,0,0,120,20,7,0,7
beef_flank,,g,113,170,7,3,80,65,0,0,0,25
beef_ground_96_4,,g,113,130,4,2,60,65,0,0,0,21
beef_korean_bbq,,g,132,334,21,5.9,76,1143,12,1,8.1,25
beer,1,glass,365,153,0,0,0,14,13,0,0,1.6
blackberry,,g,100,43,0.5,0,0,1,10,5,4.9,1.4
blueberry,,g,148,84,0.5,0,0,1.5,21,3.6,15,1.1
blueberry_bar,1,unit,20,60,0,0,0,0,12,3,9,1
bok_choy,,g,100,12,0.2,0,0,34,1.8,1,0.8,1.6
branzino,0.5,unit,112,110,2.5,0.5,45,75,0,0,0,21
bread_crumbs,,g,14,50,1,0,0,100,11,0,1,0
bread_white,,g,100,265,3.2,0.7,0,491,49,2.7,5,9
bresaola,,g,100,150,2,1,80,1940,1,1,0,33
broccoli,,g,100,34,0.4,0,0,33,7,2.6,1.7,2.8
broccoli_rabe,,g,76,15,0,0,0,25,2,2,0,2
burrito_feta,1,unit,201,320,10,6,15,690,42,4,3,16
butter,1,stick,113,810,92,58,243,12,0.1,0,0.1,1
caper,,g,28,10,0,0,0,630,2,0.2,0,0.2
carrot,1,unit,61,25,0.1,0,0,42,6,1.7,2.9,0.6
carrot_steamed,0.5,cup,78,27,0.1,0,0,236,6.4,2.3,2.7,0.6
cereal_heritage_flakes,1,cup,40,160,1.5,0,0,170,31,7,5,5
cheese_puff,1,unit,41,127,7.2,4.3,43,265,13,0.1,0.5,2.2
cheese_swiss_skim,1,slice,21,50,2.5,1.5,10,70,1,0,0,7
cheesecake,1,slice,125,401,28,12,69,548,32,0.5,27,7
cherry,20,unit,164,103,0.3,0,0,0,26.3,3.4,21,1.7
cherry_frozen,,g,140,90,0,0,0,0,22,3,18,1
chicken_breast,,g,100,165,3.6,1,85,74,0,0,0,31
chickpea,1,cup,164,269,4.2,0.4,0,11,45,12,7.9,15
chocolate_dark,,g,100,546,31,19,8,24,61,7,48,4.9
chocolate_milk,,g,100,535,30,19,23,79,59,3.4,52,8
corn,,g,264,177,3.2,0.7,0,540,38,5.3,12,6
cottage_cheese_skim,0.5,cup,113,90,2,1,10,320,5,0,4,13
couscous,,g,100,112,0.2,0,0,5,23,1.4,0.1,3.8
crab_water,1,unit,120,80,1.5,0.5,115,680,1,0,1,16
cracker_whole,1,unit,40,164,4.4,0.4,0,310,24,4.8,0.8,4.8
cream_cheese,2,tbs,31,80,7,4.5,20,125,2,0,1,2
cucumber,,g,100,15,0.1,0,0,2,3.7,0.5,1.7,0.7
date,,g,100,282,0.4,0,0,2,75,8,63,2.5
edamame,,g,100,122,5,0.6,0,6,10,5,2.2,11
egg,1,unit,50,78,5,1.6,187,62,0.6,0,0.6,6
egg_hard_boiled,1,unit,44,60,4,1.5,165,60,0,0,0,6
egg_white,1,unit,33,17,0.1,0,0,55,0.2,0,0.2,3.6
eggplant,,g,100,25,0.2,0,0,2,6,3,3.5,1
farro,0.25,cup,45,170,1,0,0,0,34,2,0,5
fennel,,g,87,27,0.2,0,0,45,6,2.7,0,1.1
feta,,g,100,264,21,15,89,1116,4.1,0,4.1,14
flour_all_purpose,1,cup,125,455,1.2,0.2,0,3,95,3.4,0.3,13
flour_almond,,g,100,280,25,2,0,0,11,5,2,11
flour_whole,,g,30,110,0,0,0,0,21,4,0,4
gelato_mango,1,scoop,130,189,6.4,3.8,24,50,33.3,1.6,25.6,2.3
gelato_yogurt,1,scoop,100,107,1.47,0.94,5,75,19.6,0.3,19,4.7
gnocchi,,g,110,170,0.5,0,0,40,37,2,0,4
gnocchi_cauliflower,1,unit,350,330,8,1.5,0,1110,15,2,0,5
grapefruit,0.5,unit,123,52,0.2,0,0,0,13,2,8,0.9
greek_yogurt_zero,,g,170,110,0,0,10,75,7,0,5,17
greek_yogurt_zero_vanilla,1,unit,150,130,0,0,5,60,17,0,14,13
kimchi,2,tbs,57,20,0,0,0,330,4,2,2,0.3
langostino,,g,85,60,0.5,0,95,105,0,0,0,15
lettuce,,g,100,15,0.2,0,0,28,2.9,1.3,0.8,1.4
lime,1,unit,67,20,0.1,0,0,1,7,1.9,1.1,0.5
